LAMMPS data file - Dimer fluid system

2532 atoms
1266 bonds
1 atom types
1 bond types

0.0 30.0 xlo xhi
0.0 10.0 ylo yhi
0.0 10.0 zlo zhi

Masses

1 1.0

Atoms # molecular

66 33 1 1.885735 1.586341 7.775738 0 0 0
67 34 1 2.270317 1.360211 8.116537 0 0 0
68 34 1 1.479683 1.139789 8.633463 0 0 0
69 35 1 1.398297 1.206599 8.546929 0 0 0
70 35 1 2.351703 1.293401 8.703071 0 0 0
71 36 1 1.754467 1.021640 9.285547 0 0 0
72 36 1 1.995533 1.478360 8.464453 0 0 0
73 37 1 2.310168 1.299953 8.916772 0 0 0
74 37 1 1.439832 1.200047 9.333228 0 0 0
75 38 1 1.818123 1.551930 9.750271 0 0 0
76 38 1 1.931877 0.948070 8.999729 0 0 0
77 39 1 1.726937 1.307934 10.083199 0 0 0
78 39 1 2.023063 1.192066 9.166801 0 0 0
79 40 1 1.954467 1.669817 9.645515 0 0 0
80 40 1 1.795533 0.830183 10.104485 0 0 0
81 41 1 2.289676 3.580313 -0.060675 0 0 0
82 41 1 1.460324 3.919687 0.310675 0 0 0
83 42 1 1.497333 3.450439 0.321566 0 0 0
84 42 1 2.252667 4.049561 0.428434 0 0 0
85 43 1 1.969178 3.718263 0.150291 0 0 0
86 43 1 1.780822 3.781737 1.099709 0 0 0
87 44 1 2.103701 3.776118 1.301894 0 0 0
88 44 1 1.646299 3.723882 0.448106 0 0 0
89 45 1 1.582399 3.403510 0.953087 0 0 0
90 45 1 2.167601 4.096490 1.296913 0 0 0
91 46 1 2.316430 3.711756 1.177763 0 0 0
92 46 1 1.433570 3.788244 1.572237 0 0 0
93 47 1 1.682286 3.483178 1.268781 0 0 0
94 47 1 2.067714 4.016822 1.981219 0 0 0
95 48 1 1.933537 3.449842 2.251435 0 0 0
96 48 1 1.816463 4.050158 1.498565 0 0 0
97 49 1 2.112429 3.703310 1.704676 0 0 0
98 49 1 1.637571 3.796690 2.545324 0 0 0
99 50 1 2.168141 3.532846 2.694589 0 0 0
100 50 1 1.581859 3.967154 2.055411 0 0 0
101 51 1 1.869506 3.313052 2.835407 0 0 0
102 51 1 1.880494 4.186948 2.414593 0 0 0
103 52 1 2.281714 3.533743 2.723207 0 0 0
104 52 1 1.468286 3.966257 3.026793 0 0 0
105 53 1 2.348201 3.770144 3.229402 0 0 0
106 53 1 1.401799 3.729856 3.020598 0 0 0
107 54 1 2.189819 4.055221 3.582253 0 0 0
108 54 1 1.560181 3.444779 3.167747 0 0 0
109 55 1 2.309926 3.539681 3.582221 0 0 0
110 55 1 1.440074 3.960319 3.667779 0 0 0
111 56 1 1.577801 3.983198 4.179165 0 0 0
112 56 1 2.172199 3.516802 3.570835 0 0 0
113 57 1 1.466231 3.526296 3.990502 0 0 0
114 57 1 2.283769 3.973704 4.259498 0 0 0
115 58 1 2.019808 3.968403 4.783112 0 0 0
116 58 1 1.730192 3.531597 3.966888 0 0 0
117 59 1 1.767572 3.407268 4.299088 0 0 0
118 59 1 1.982428 4.092732 4.950912 0 0 0
119 60 1 1.779439 3.795481 4.401688 0 0 0
120 60 1 1.970561 3.704519 5.348312 0 0 0
121 61 1 2.149047 3.387173 4.956240 0 0 0
122 61 1 1.600953 4.112827 5.293760 0 0 0
123 62 1 2.258697 3.949311 5.594720 0 0 0
